,username,accountname,peer follower,follower,time on Twitter
306,@danvazh,Daniel Vázquez,210,1614,11
307,@MikeOtsuka,Michael Otsuka,209,7726,11
308,@KrantiSaran,Kranti Saran,209,5100,12
309,@davidr11,David Rosenthal,209,2836,12
310,@JamesHuttonPhil,James Hutton,209,1303,1
311,@alanigolanski,Alani Golanski,208,5185,7
312,@unfilosofo,Manuel Undistinguished Professor Vargas 🥑,208,1501,12
313,@JackBicker,Jack Bicker,207,3310,11
314,@DrLeighMJohnson,Dr. Leigh M. Johnson,207,2348,11
315,@msprevak,Mark Sprevak,207,1924,11
316,@ManonGarciaFR,Manon Garcia,206,18119,3
317,@karinavold,Karina Vold,205,3453,6
318,@alicemurphs,Alice Murphy,205,1512,7
319,@MindOfSamLiao,Shen-yi Liao,205,1095,1
320,@drangiehobbs,Angie Hobbs,204,6419,12
321,@laurenamslater,Lauren Slater,204,1593,6
322,@luvell_anderson,frederick thuglass,204,1490,4
323,@benjaminmatheso,Benjamin Matheson,204,1304,5
324,@manueldries,Manuel Dries,204,1114,11
325,@ProfYolonda,"Yolonda with an ""o"" in the middle",203,3463,8
326,@AlisaBokulich,Alisa Bokulich,203,1724,1
327,@m_j_hannon,Michael Hannon,203,1405,4
328,@AlisonGopnik,Alison Gopnik,201,14908,10
329,@Lilyfrank16,dr. Lily frank,201,1955,5
330,@MichaelCholbi,Michael Cholbi,200,1481,12
331,@xgabegottliebx,Gabe Gottlieb,199,4167,5
332,@DrZimmermann,Annette Zimmermann,199,3931,3
333,@BritHereNow,Brit Brogaard,199,2523,12
334,@semimetic,Samuel P,199,2300,6
335,@mmmccabe1,Mary Margaret McCabe,198,1983,7
336,@cianchartier,Cian Guilfoyle Chartier,197,1230,4
337,@JustinVlasits,Justin Vlasits,197,1117,8
338,@EvanSelinger,Evan Selinger,196,11363,11
339,@philoso_panda,Rebecca Scott,196,1115,4
340,@nwhittaker10,nicholas,195,4625,1
341,@Modemichael,Michael Schmitz,195,1373,8
342,@TaniaLombrozo,Tania Lombrozo,194,10606,9
343,@zenahitz,Zena Hitz,194,9744,2
344,@nologos_,venus infers 🪰,194,4373,3
345,@giocalagiocala,Antonella Mallozzi,194,2253,5
346,@mpolocamacho,"Polo Camacho, Ph.D.",194,1491,8
347,@DrJoeMorrison,Joe Morrison,193,1312,4
348,@cblaketurner,Chris Blake-Turner,192,1256,5
349,@damonayoung,Damon Young,190,14524,10
350,@gdmorejon,"gil, a finite mode",190,9187,3
351,@felipedebrigard,Felipe De Brigard,190,4058,8
352,@vcwills,Vanessa Wills,189,3556,13
353,@philosofacespin,DMS,189,3348,9
354,@NoamChompers,noamathy chompers,189,3306,12
355,@Ethan_Mills_42,Ethan Mills,189,2228,5
356,@Kingdatweet,David King,189,1840,9
357,@Going_Loopy,Martin Lenz,189,1595,7
358,@mrmorrisphil,Michael Morris,189,1465,11
359,@umutbaysan1,Umut Baysan,189,1463,6
360,@fluffycyborg,Andy Clark,188,5208,8
361,@HelgaVarden,Helga Varden 🇺🇦,188,2186,2
362,@semmanuel,S.M. Emmanuel Supports 🇺🇦🌻,188,1972,13
363,@SusanBrison,SJ Brison,188,1928,10
364,@Susanne_Bobzien,Susanne Bobzien,188,1777,6
365,@FreyChristopher,Christopher Frey,187,4226,12
366,@illocutie,Nikki is an infernal shame,187,3536,7
367,@onemorebrown,Richard Brown,187,2792,11
368,@qualiazombie,Sean Crawford,187,1492,4
369,@jlsnedegar,Justin Snedegar,187,1291,10
370,@_kenboyd,Ken Boyd,187,1097,10
371,@TheRealEGS,Eleanor Gordon-Smith,186,6647,12
372,@k_genin,Kasey Genin,186,1619,10
373,@JoeRoussos,Joe Roussos,186,1183,3
374,@DavidRondel,David Rondel,186,1019,6
375,@citizen_sanders,Mark Sanders,185,2145,5
376,@SteveMDownes,Steve Downes,185,1171,9
377,@matthewtbeard,Matt Beard,183,4816,11
378,@caseygripps,casey 🖤,183,3466,4
379,@SuttonProfessor,John Sutton,183,2930,5
380,@ibphillips,Ian Phillips,183,1659,9
381,@davidlmcpherson,David McPherson,183,1492,5
382,@TheSandyGrant,Sandy Grant,182,5376,4
383,@JLKirkpatrick1,Jesse Kirkpatrick,182,1191,6
384,@drkeithwilson,Dr Keith Wilson,182,1178,5
385,@hildherlo,Hilda Hernández,181,4523,12
386,@djr113,Debbie Roberts,181,1502,11
387,@mkrishnamurthyX,Meena Krishnamurthy,181,1252,1
388,@HieronymusBonn,Mr. Jackpots Ⓥ,180,1844,8
389,@p_a_marino,Patricia Marino,180,1427,8
390,@VlastaSikimic,Vlasta Sikimic,180,1397,4
391,@SanjanaWrites,Sanjana Rajagopal 🕊,179,1996,5
392,@ProfBarryLam,Barry Lam 🥢,179,1766,7
393,@Sainsha,Mikio Akagi,179,1622,14
394,@the_stardust,Juliana de Albuquerque,178,8745,13
395,@modalizing,Al Wilson,178,1596,10
396,@f_woollard,Fiona Woollard,178,1308,8
397,@jehsmith,Justin E. H. Smith,177,6110,13
398,@FeyeraBender,rory ☭,177,5891,2
399,@AllisonBarnes8,Allison Barnes,177,1560,10
400,@ebshupe,Eli Shupe,177,1356,4
401,@SereneKhader,Serene Khader,177,1314,8
402,@sjriches,Simon Riches,176,5000,12
403,@ms_brizzle,B.,176,1032,7
404,@tnpabrouwer,Thomas Brouwer,175,1929,10
405,@m_j_kremer,Michael Kremer,174,2268,7
406,@nathanballan,Nathan Ballantyne,174,1670,1
407,@philosofarr,Matt Farr,174,1528,11
408,@emotionvalueJM,Jonathan Mitchell,174,1500,3
409,@milena_ivanova_,Milena Ivanova 💙💛,174,1247,6
410,@ankeny_rachel,Prof Rachel A. Ankeny,173,2625,3
411,@JSaatsi,Juha Saatsi,173,1475,7
412,@philo_celine,Céline Leboeuf,173,1337,3
413,@garycox01,Dr Gary Cox - Philosopher,172,5147,10
414,@bellarose__k,bella-rose💙,172,2463,7
415,@rgblong,Robert Long,172,2392,9
416,@raimondiand,Andrea,172,2001,12
417,@em_hrnndz,Emi Hernandez 🦕,172,1592,2
418,@RachaelBrown42,Rachael Brown,172,1436,11
419,@drmichaelrush,Michael Rush,172,1312,9
420,@christianhbarry,christianhbarry,172,1261,8
421,@SmnRppn,Simon Rippon,172,1162,9
422,@kantianphysiker,David Milliern,171,1429,11
423,@KathyPuddifoot,Kathy Puddifoot,171,1271,8
424,@_APeterson_,Andrew Peterson,170,1449,8
425,@ArfaOksana,Oksana Ferents,170,1199,9
426,@JesusMinusU,Dr. Jess Adkins 🪗,170,1037,12
427,@ProfessorShaw,Tamsin Shaw,169,12844,4
428,@petemandik,Pete Mandik,169,5214,12
429,@chezaristote,M.M.Townsend,169,3081,13
430,@thyacinth,Xin Hui is under-educated and over-loved,169,2512,12
431,@ElliottThornley,Elliott Thornley,169,1597,4
432,@NancyAMcHugh,Nancy McHugh,169,1393,8
433,@MoniGlezRiedel,Monica Gonzalez🌻☀️,169,1301,5
434,@profmdwhite,Mark D. White,168,4193,12
435,@two_standpoints,Sam Filby: Weekend Mode!!,168,4150,1
436,@jimkanaris,Jim Kanaris,168,3051,11
437,@sethlazar,Seth Lazar,168,2823,10
438,@nwyatt,"Nicole Wyatt, PhD",168,1686,13
439,@TuomasPernu,Tuomas Pernu,167,2202,8
440,@thehangedman,Matthew J. Brown,167,1714,15
441,@hippocampa,5ASkia,167,1666,12
442,@weisbergm,Michael Weisberg,167,1456,11
443,@OldAristocles,FDC,166,2501,7
444,@ediazleon,Dr. Esa Díaz León,166,1027,15
445,@cathyby,Cathy B 🌻,165,4366,12
446,@ChikeJeffers,Chike Jeffers,165,1818,13
447,@tertiagillett,Tertia Gillett,165,1678,4
448,@tonychemero,Tony Chemero,163,2276,7
449,@ehatmat,Erich Hatala Matthes,163,1526,8
450,@theheidifeed,"love&peace, heidi",163,1511,11
451,@KristinAndrewz,Kristin Andrews,162,1825,9
452,@KatieKendig,Katie Kendig,162,1285,10
453,@lebron_chris,Chris Lebron,161,4052,10
454,@thedanahoward,Dana Howard,161,1109,8
455,@J_Kisolo,Joseph Kisolo-Ssonko,161,1099,11
456,@chazfirestone,Chaz Firestone,160,11359,13
457,@_MikeTremblay,Michael Tremblay,160,1455,3
458,@PhilosophyFails,Ben Gibran,160,1414,8
459,@dvnbrennan,Dev,160,1396,12
460,@_JAStockdale,Jack Stockdale,160,1190,12
461,@webmasterdave,David Pearce,159,112624,13
462,@thephilosotroll,"Joshua Stein, philosophy, ethics, politics",159,3970,11
463,@BrandonWarmke,Brandon Warmke,159,3545,3
464,@CrispinSartwell,Crispin Sartwell,159,3162,9
465,@joe_dewhurst,Joe Dewhurst,159,2094,5
466,@GraceNonToxic,Grace Cebrero,159,1534,8
467,@wangshanxi2,Wang CB,159,1105,1
468,@bathelina,Hannah B is trying to write,158,2444,10
469,@gravbeast,Gravid Beast,158,1711,8
470,@ProfLaurenRoss,Lauren N. Ross,157,2203,1
471,@amykind,Amy Kind,157,1032,13
472,@savvasioa,Savvas Ioannou,157,1008,8
473,@keyofnight,Tim Brown (he/him),156,1814,14
474,@PeterWest23,Peter West,156,1375,10
475,@PeterWest23,Peter West,156,1375,10
476,@AmyReedSandoval,Amy Reed-Sandoval,156,1340,5
477,@IngridRobeyns,Ingrid Robeyns,155,6290,11
478,@wt_greg,wt_greg,155,1088,6
479,@juskhoo,Justin Khoo,154,1176,8
480,@mittmattmutt,Matthew McKeever,154,1075,12
481,@andrewmilward,Andrew Milward,154,1065,9
482,@AFabregasT,Alejandro Fábregas Tejeda,153,2247,5
483,@cantabcatherine,Catherine French,153,1588,8
484,@WausauBob,Bayview Bob,153,1278,13
485,@doctaj,Robin James,152,10174,14
486,@SophieFernier,Sophie,152,1701,5
487,@livcoombes,Liv 🔥,152,1355,3
488,@kmfaho,Karl Aho,152,1290,12
489,@Susana_MonsO,Susana Monsó,151,2829,2
490,@drcolekat,Nicole Vincent,151,1809,13
491,@babblist,Gary Donnelly,151,1342,12
492,@PeterSjostedtH,Dr Peter Sjöstedt-Hughes,150,11114,8
493,@standefer,Shawn Standefer,150,1205,13
494,@AlldrittOwen,Owen,149,4293,3
495,@pradeu,Thomas Pradeu,149,3162,12
496,@ellieanderphd,Ellie Anderson,149,2392,3
